Jenis Kelamin,Umur,Wilayah,Tanggapan,Tanggapan_Final,text_clean,topic_number,topic_id,topic_label,topic_probability
Perempuan,8 sampai 11 tahun,Sibolga Utara,suara kayu,suara kayu,suara kayu,3,2,Kerusakan Rumah & Bantuan,0.75
Perempuan,8 sampai 11 tahun,Sibolga Utara,aku bertemu sama temanteman aku bercerita tentang banjir,aku temu sama temanteman aku cerita banjir,temu temanteman cerita banjir,2,1,Ketakutan & Dampak Banjir,0.4193
Perempuan,8 sampai 11 tahun,Sibolga Utara,aku minum air putih,aku minum air putih,minum air putih,2,1,Ketakutan & Dampak Banjir,0.8793
Perempuan,8 sampai 11 tahun,Sibolga Utara,aku makan nasi dan supermi,aku makan nasi supermi,makan nasi supermi,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,cerita dengan teman saudara orangrua dan keluarga lain,cerita teman saudara orangrua keluarga,cerita teman saudara orangrua keluarga,1,0,Kehilangan & Trauma Keluarga,0.8793
Perempuan,8 sampai 11 tahun,Sibolga Utara,makan mie telur kerupuk dan air,makan mie telur kerupuk air,makan mie telur kerupuk air,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8793
Perempuan,8 sampai 11 tahun,Sibolga Utara,ingin bertemu teman dan menceritakan sama teman,temu teman cerita sama teman,temu teman cerita teman,1,0,Kehilangan & Trauma Keluarga,0.8793
Perempuan,8 sampai 11 tahun,Sibolga Utara,ingin bertemu nenek dan orangtua untuk bercerita,temu nenek orangtua cerita,temu nenek orangtua cerita,1,0,Kehilangan & Trauma Keluarga,0.5626
Perempuan,8 sampai 11 tahun,Sibolga Utara,saya merasa tidak nyaman makan ikan lele,rasa nyaman makan ikan lele,rasa nyaman makan ikan lele,7,6,Kebutuhan Makan & Aktivitas Fisik,0.4647
Perempuan,8 sampai 11 tahun,Sibolga Utara,saya merasa tidak nyaman minum air putih,rasa nyaman minum air putih,rasa nyaman minum air putih,2,1,Ketakutan & Dampak Banjir,0.6359
Perempuan,8 sampai 11 tahun,Sibolga Utara,makan supermi,makan supermi,makan supermi,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,cerita ke teman,cerita teman,cerita teman,1,0,Kehilangan & Trauma Keluarga,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,makan mie dan merasa takut sakit perut,makan mie rasa takut sakit perut,makan mie rasa takut sakit perut,8,7,Keluhan Fisik & Kesehatan,0.4043
Perempuan,8 sampai 11 tahun,Sibolga Utara,minum air putih,minum air putih,minum air putih,2,1,Ketakutan & Dampak Banjir,0.8793
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit bahuku,sakit bahuku,sakit bahuku,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,kali lari sakit kali bahuku,kali lari sakit kali bahuku,lari sakit bahuku,8,7,Keluhan Fisik & Kesehatan,0.75
Perempuan,8 sampai 11 tahun,Sibolga Utara,capek,capek,capek,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit,sakit,sakit,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,keringat,keringat,keringat,1,0,Kehilangan & Trauma Keluarga,0.125
Perempuan,8 sampai 11 tahun,Sibolga Utara,pegal,pegal,pegal,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,gatalgatal,gatalgatal,gatalgatal,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,kecapean,cape,cape,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit pegal,sakit pegal,sakit pegal,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,merasa sedih takut khawatir tidak senang hancur,rasa sedih takut khawatir senang hancur,rasa sedih takut khawatir senang hancur,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,saya merasa hancur karena rumah tidak berdiri kokoh,rasa hancur rumah diri kokoh,rasa hancur rumah diri kokoh,3,2,Kerusakan Rumah & Bantuan,0.4263
Perempuan,8 sampai 11 tahun,Sibolga Utara,saya merasa tidak nyaman kalau datang hujan petir badai,rasa nyaman kalau datang hujan petir badai,rasa nyaman datang hujan petir badai,3,2,Kerusakan Rumah & Bantuan,0.4737
Perempuan,8 sampai 11 tahun,Sibolga Utara,sedih karena rumah teman hancur,sedih rumah teman hancur,sedih rumah teman hancur,3,2,Kerusakan Rumah & Bantuan,0.3474
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit hati karena rumah guruku hancur,sakit hati rumah guru hancur,sakit hati rumah guru hancur,8,7,Keluhan Fisik & Kesehatan,0.4309
Perempuan,8 sampai 11 tahun,Sibolga Utara,aku tidak senang karena rumah tetangga hancur,aku senang rumah tetangga hancur,senang rumah tetangga hancur,3,2,Kerusakan Rumah & Bantuan,0.8793
Perempuan,8 sampai 11 tahun,Sibolga Utara,sedih takut khawatir tidak senang,sedih takut khawatir senang,sedih takut khawatir senang,2,1,Ketakutan & Dampak Banjir,0.8971
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit perut,sakit perut,sakit perut,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit pinggang,sakit pinggang,sakit pinggang,8,7,Keluhan Fisik & Kesehatan,0.5517
Perempuan,8 sampai 11 tahun,Sibolga Utara,ingin tidur karena pinggang sakit,tidur pinggang sakit,tidur pinggang sakit,8,7,Keluhan Fisik & Kesehatan,0.4368
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit perut karena berlari,sakit perut lari,sakit perut lari,8,7,Keluhan Fisik & Kesehatan,0.8542
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit perut karena tidak makan pagi,sakit perut tidak makan pagi,sakit perut makan,8,7,Keluhan Fisik & Kesehatan,0.7066
Perempuan,8 sampai 11 tahun,Sibolga Utara,sakit pegal capek,sakit pegal capek,sakit pegal capek,8,7,Keluhan Fisik & Kesehatan,0.8542
Perempuan,8 sampai 11 tahun,Sibolga Utara,pinggang sakit pegal,pinggang sakit pegal,pinggang sakit pegal,8,7,Keluhan Fisik & Kesehatan,0.7066
Perempuan,8 sampai 11 tahun,Sibolga Utara,gatal,gatal,gatal,1,0,Kehilangan & Trauma Keluarga,0.125
Perempuan,8 sampai 11 tahun,Sibolga Utara,pinggang terasa sakitt karena pegal,pinggang asa sakitt pegal,pinggang asa sakitt pegal,8,7,Keluhan Fisik & Kesehatan,0.6419
Perempuan,8 sampai 11 tahun,Sibolga Utara,main hp,main hp,main,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,makan,makan,makan,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,minum,minum,minum,3,2,Kerusakan Rumah & Bantuan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,bersihbersih rumah,bersihbersih rumah,bersihbersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,8 sampai 11 tahun,Sibolga Utara,cebok,cebok,cebok,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,belajarmenulis dll,belajarmenulis,belajarmenulis,1,0,Kehilangan & Trauma Keluarga,0.125
Perempuan,8 sampai 11 tahun,Sibolga Utara,belajar,ajar,ajar,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,main game,main game,main game,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,main bola,main bola,main bola,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,cuci piring,cuci piring,cuci piring,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,angkat air,angkat air,angkat air,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,mandi,mandi,mandi,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,menolong,tolong,tolong,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,8 sampai 11 tahun,Sibolga Utara,membersihkan rumah,bersih rumah,bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,8 sampai 11 tahun,Sibolga Utara,untuk larilari jalan membantu orang untuk merasakan sakit,larilari jalan bantu orang rasa sakit,larilari bantu orang rasa sakit,8,7,Keluhan Fisik & Kesehatan,0.4365
Perempuan,8 sampai 11 tahun,Sibolga Utara,mainmain menendang memijak berjalan dance,mainmain tendang pijak jalan dance,mainmain tendang pijak dance,1,0,Kehilangan & Trauma Keluarga,0.75
Perempuan,8 sampai 11 tahun,Sibolga Utara,kakiku terasa sakit untuk lari untuk mainmain,kaki asa sakit lari mainmain,kaki asa sakit lari mainmain,8,7,Keluhan Fisik & Kesehatan,0.7819
Perempuan,8 sampai 11 tahun,Sibolga Utara,lari mainmain jalan,lari mainmain jalan,lari mainmain,1,0,Kehilangan & Trauma Keluarga,0.3929
Laki laki,8 sampai 11 tahun,Sibolga Utara,takut lalu kami lari ke hutan lalu tidur di kuburan,takut lalu lari hutan lalu tidur kubur,takut lari hutan tidur kubur,5,4,Dampak Pendidikan & Tempat Tidur,0.6412
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya takut saat banjir dating aku nangis ketakutan dan aku lari bersama teman dan keluarga sebelumnya hujan deras olehkarena itu saya tidak sekolah,takut banjir dating aku nang takut aku lari sama teman keluarga belum hujan deras olehkarena saya sekolah,takut banjir dating nang takut lari teman keluarga hujan deras olehkarena sekolah,2,1,Ketakutan & Dampak Banjir,0.4533
Laki laki,8 sampai 11 tahun,Sibolga Utara,aku lari ketempat aman aku tidak ke sekolah aku lari ke zona aman,aku lari tempat aman aku sekolah aku lari ke zona aman,lari tempat aman sekolah lari zona aman,5,4,Dampak Pendidikan & Tempat Tidur,0.8971
Laki laki,8 sampai 11 tahun,Sibolga Utara,takut sedih cemas,takut sedih cemas,takut sedih cemas,2,1,Ketakutan & Dampak Banjir,0.5296
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya takut air deras karena saya takut ayah saya di laut ketakutan dan saya berlari kencang dan selamat,takut air deras takut ayah saya di laut takut saya lari kencang selamat,takut air deras takut ayah laut takut lari kencang selamat,2,1,Ketakutan & Dampak Banjir,0.6815
Laki laki,8 sampai 11 tahun,Sibolga Utara,melihat kayu batu pasir dan tanah,lihat kayu batu pasir tanah,lihat kayu batu pasir tanah,5,4,Dampak Pendidikan & Tempat Tidur,0.4558
Laki laki,8 sampai 11 tahun,Sibolga Utara,aku melihat banjir dan melihat kayu tumbang lalu air besar sekali dan pohon tumbang,aku lihat banjir lihat kayu tumbang lalu air besar sekali pohon tumbang,lihat banjir lihat kayu tumbang air besar sekali pohon tumbang,2,1,Ketakutan & Dampak Banjir,0.6689
Laki laki,8 sampai 11 tahun,Sibolga Utara,kayu tumbang batu bersuara dan gelap gulita,kayu tumbang batu suara gelap gulita,kayu tumbang batu suara gelap gulita,3,2,Kerusakan Rumah & Bantuan,0.897
Laki laki,8 sampai 11 tahun,Sibolga Utara,waktu sudah kejadian aku melihat ada yang berbeda seperti rumah yang ada sudah tidak ada dan jalan rusak sungai semakin rendah dan jorok,waktu jadi aku lihat beda rumah yang tidak ada jalan rusak sungai makin rendah dan jorok,lihat beda rumah rusak sungai makin rendah jorok,2,1,Ketakutan & Dampak Banjir,0.9102
Laki laki,8 sampai 11 tahun,Sibolga Utara,air besar dan berwarna batu hilang dan suasana buruk dan pemandangan aneh dan mengerikan sampai hancur rumah dan pohon tumbang manusia terderet di air besar dan dasyat,air besar warna batu hilang suasana buruk pandang aneh keri hancur rumah pohon tumbang manusia deret air besar dasyat,air besar warna batu hilang suasana buruk pandang aneh keri hancur rumah pohon tumbang manusia deret air besar dasyat,2,1,Ketakutan & Dampak Banjir,0.4238
Laki laki,8 sampai 11 tahun,Sibolga Utara,suara yang membuat saya takut adalah suara hujan deras angin kencang suara air sungai yang membesar dan suara petir,suara buat takut suara hujan deras angin kencang suara air sungai besar suara petir,suara takut suara hujan deras angin kencang suara air sungai besar suara petir,3,2,Kerusakan Rumah & Bantuan,0.6935
Laki laki,8 sampai 11 tahun,Sibolga Utara,suara batu petir dan banjir,suara batu petir banjir,suara batu petir banjir,6,5,Bencana & Kehilangan Tempat Tinggal,0.7069
Laki laki,8 sampai 11 tahun,Sibolga Utara,suara batu suara petir dan suara angin,suara batu suara petir suara angin,suara batu suara petir suara angin,3,2,Kerusakan Rumah & Bantuan,0.7489
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya mendengar hujan deras suara batu dan petir banjir air besar dan air mengerikan,dengar hujan deras suara batu petir banjir air besar air keri,dengar hujan deras suara batu petir banjir air besar air keri,2,1,Ketakutan & Dampak Banjir,0.4699
Laki laki,8 sampai 11 tahun,Sibolga Utara,suara batu hujan petir dan angin kencang,suara batu hujan petir angin kencang,suara batu hujan petir angin kencang,3,2,Kerusakan Rumah & Bantuan,0.7224
Laki laki,8 sampai 11 tahun,Sibolga Utara,aku mendengar hujan dan kayu pertumbangan aku ketakutan,aku dengar hujan kayu tumbang aku takut,dengar hujan kayu tumbang takut,3,2,Kerusakan Rumah & Bantuan,0.698
Laki laki,8 sampai 11 tahun,Sibolga Utara,bertemu dengan tuhan dan makan ayam ikan sambal kecap dan kerupuk,temu tuhan makan ayam ikan sambal kecap kerupuk,temu tuhan makan ayam ikan sambal kecap kerupuk,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6106
Laki laki,8 sampai 11 tahun,Sibolga Utara,mama,mama,mama,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Laki laki,8 sampai 11 tahun,Sibolga Utara,aku ketemu kawanku dan makan indomie kesukaanku,aku ketemu kawan makan indomie suka,ketemu kawan makan indomie suka,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8793
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya pernah makan nasi goreng air putih da saya pernah cerita tentang saya tuhan di dalam hati dengan keluarga,pernah makan nasi goreng air putih da pernah cerita saya tuhan dalam hati keluarga,pernah makan nasi goreng air putih pernah cerita tuhan hati keluarga,7,6,Kebutuhan Makan & Aktivitas Fisik,0.4766
Laki laki,8 sampai 11 tahun,Sibolga Utara,kakak cerita banjir makan roti dan nasi,kakak cerita banjir makan roti nasi,kakak cerita banjir makan roti nasi,7,6,Kebutuhan Makan & Aktivitas Fisik,0.5648
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya berdoa kepada tuhan agar kami di selamatkan dari bencana pada saat itu kami makan mie dan aku ingin bertemu dengan teman,doa tuhan kami selamat bencana saat kami makan mie aku temu teman,doa tuhan selamat bencana makan mie temu teman,1,0,Kehilangan & Trauma Keluarga,0.4989
Laki laki,8 sampai 11 tahun,Sibolga Utara,bahu saya sakit karena air besar dan saya pun merasa kesakitan seperti patah pinggang,bahu sakit air besar saya rasa sakit patah pinggang,bahu sakit air besar rasa sakit patah pinggang,8,7,Keluhan Fisik & Kesehatan,0.6795
Laki laki,8 sampai 11 tahun,Sibolga Utara,sakit dan pegal,sakit pegal,sakit pegal,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,8 sampai 11 tahun,Sibolga Utara,bahu saya terjadi sakit lemas dan pegal,bahu jadi sakit lemas pegal,bahu sakit lemas pegal,8,7,Keluhan Fisik & Kesehatan,0.8793
Laki laki,8 sampai 11 tahun,Sibolga Utara,kesakitan karena tertimpa longsor,sakit timpa longsor,sakit timpa longsor,8,7,Keluhan Fisik & Kesehatan,0.3929
Laki laki,8 sampai 11 tahun,Sibolga Utara,sakit hampir kenak kayu dan pegal,sakit hampir nak kayu pegal,sakit hampir kayu pegal,8,7,Keluhan Fisik & Kesehatan,0.6458
Laki laki,8 sampai 11 tahun,Sibolga Utara,dingin sakit bahu ingin di kusuk,dingin sakit bahu di kusuk,dingin sakit bahu kusuk,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,8 sampai 11 tahun,Sibolga Utara,hati saya sedh dan hancur hati dan marah sedikit,hati sedh hancur hati marah sedikit,hati sedh hancur hati marah sedikit,3,2,Kerusakan Rumah & Bantuan,0.8793
Laki laki,8 sampai 11 tahun,Sibolga Utara,takit sedih dan tidak senang,takit sedih tidak senang,takit sedih senang,2,1,Ketakutan & Dampak Banjir,0.8158
Laki laki,8 sampai 11 tahun,Sibolga Utara,aku sedih mendengar rumah kawanku hancur,aku sedih dengar rumah kawan hancur,sedih dengar rumah kawan hancur,2,1,Ketakutan & Dampak Banjir,0.6896
Laki laki,8 sampai 11 tahun,Sibolga Utara,sakit ingin mati dan ingin melihat rumah tapi tidak bisa,sakit mati ingin lihat rumah tidak,sakit mati ingin lihat rumah,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,8 sampai 11 tahun,Sibolga Utara,sedih tidak senang dan takut,sedih senang takut,sedih senang takut,2,1,Ketakutan & Dampak Banjir,0.8542
Laki laki,8 sampai 11 tahun,Sibolga Utara,sesudah bencana hati saya merasa sedh dan takut saya sedih melihat rumah dan jalan hancur,bencana hati rasa sedh takut sedih lihat rumah jalan hancur,bencana hati rasa sedh takut sedih lihat rumah hancur,2,1,Ketakutan & Dampak Banjir,0.6453
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya merasa pinggang saya sakit dan pegal dan perut saya terasa lapar dan sakit,rasa pinggang sakit pegal perut asa lapar sakit,rasa pinggang sakit pegal perut asa lapar sakit,8,7,Keluhan Fisik & Kesehatan,0.7425
Laki laki,8 sampai 11 tahun,Sibolga Utara,pinggang hampir patah perut sakit ingin buang air besar tapi tidak bisa,pinggang hampir patah perut sakit buang air besar tidak,pinggang hampir patah perut sakit buang air besar,8,7,Keluhan Fisik & Kesehatan,0.4657
Laki laki,8 sampai 11 tahun,Sibolga Utara,sakit perut,sakit perut,sakit perut,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,8 sampai 11 tahun,Sibolga Utara,pinggangku sakit perutku kesakitan dan aku menangis,pinggang sakit perut sakit aku menang,pinggang sakit perut sakit menang,8,7,Keluhan Fisik & Kesehatan,0.8066
Laki laki,8 sampai 11 tahun,Sibolga Utara,saya sakit perut karena saya buang air besar,sakit perut saya buang air besar,sakit perut buang air besar,8,7,Keluhan Fisik & Kesehatan,0.3523
Laki laki,8 sampai 11 tahun,Sibolga Utara,tangan kesakitan sekali,tangan sakit sekali,tangan sakit sekali,8,7,Keluhan Fisik & Kesehatan,0.6458
Laki laki,8 sampai 11 tahun,Sibolga Utara,baru kesakitan dan tidak bisa bergerak,baru sakit tidak gerak,sakit gerak,8,7,Keluhan Fisik & Kesehatan,0.6111
Laki laki,8 sampai 11 tahun,Sibolga Utara,sakit dan kedinginan,sakit dingin,sakit dingin,8,7,Keluhan Fisik & Kesehatan,0.75
Laki laki,8 sampai 11 tahun,Sibolga Utara,tangan saya untuk makan mandi main game dan disuruh oleh mama dan bapak,tangan untuk makan mandi main game suruh mama bapak,tangan makan mandi main game suruh mama bapak,7,6,Kebutuhan Makan & Aktivitas Fisik,0.4581
Laki laki,8 sampai 11 tahun,Sibolga Utara,makan mandi main game dan cebok,makan mandi main game cebok,makan mandi main game cebok,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8971
Laki laki,8 sampai 11 tahun,Sibolga Utara,buat makan minum es dan mengambil sesuatu,buat makan minum es ambil,makan minum ambil,3,2,Kerusakan Rumah & Bantuan,0.6415
Laki laki,8 sampai 11 tahun,Sibolga Utara,angkat air dan main,angkat air main,angkat air main,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8542
Laki laki,8 sampai 11 tahun,Sibolga Utara,kakiku kesakitan maling barang,kaki sakit maling barang,kaki sakit maling barang,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6529
Laki laki,8 sampai 11 tahun,Sibolga Utara,lari terinjak paku,lari injak paku,lari injak paku,7,6,Kebutuhan Makan & Aktivitas Fisik,0.3929
Laki laki,8 sampai 11 tahun,Sibolga Utara,untuk jalanjalan,jalanjalan,jalanjalan,8,7,Keluhan Fisik & Kesehatan,0.6111
Laki laki,8 sampai 11 tahun,Sibolga Utara,untuk menendang bola dan jalan kemanamana,tendang bola jalan kemanamana,tendang bola kemanamana,7,6,Kebutuhan Makan & Aktivitas Fisik,0.3929
Laki laki,8 sampai 11 tahun,Sibolga Utara,kaki saya sakit karena kecapean dan saya istirahat dengan kaki saya,kaki sakit cape istirahat kaki saya,kaki sakit cape istirahat kaki,7,6,Kebutuhan Makan & Aktivitas Fisik,0.715
Laki laki,8 sampai 11 tahun,Sibolga Utara,lari,lari,lari,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,takut,takut,takut,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,sedih,sedih,sedih,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,cemas,cemas,cemas,1,0,Kehilangan & Trauma Keluarga,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,nangis,nang,nang,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,saya merasakan takut sedih cemas,rasa takut sedih cemas,rasa takut sedih cemas,2,1,Ketakutan & Dampak Banjir,0.6011
Perempuan,12 sampai 15 tahun,Sibolga Utara,saat dating banjir atau longsor di pikiran saya merasa takut cemas dan lainlainnya,dating banjir longsor pikir rasa takut cemas lainlainnya,dating banjir longsor pikir rasa takut cemas lainlainnya,1,0,Kehilangan & Trauma Keluarga,0.4485
Perempuan,12 sampai 15 tahun,Sibolga Utara,takut dan pusing memikirkan rumah rusak,takut pusing pikir rumah rusak,takut pusing pikir rumah rusak,2,1,Ketakutan & Dampak Banjir,0.5415
Perempuan,12 sampai 15 tahun,Sibolga Utara,takut longsor takut air besar takut kehilangan orang tua,takut longsor takut air besar takut hilang orang tua,takut longsor takut air besar takut hilang orang tua,2,1,Ketakutan & Dampak Banjir,0.8076
Perempuan,12 sampai 15 tahun,Sibolga Utara,rumah roboh,rumah roboh,rumah roboh,3,2,Kerusakan Rumah & Bantuan,0.8158
Perempuan,12 sampai 15 tahun,Sibolga Utara,kayu,kayu,kayu,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,batu,batu,batu,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,tanah,tanah,tanah,3,2,Kerusakan Rumah & Bantuan,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,tiang jatuh,tiang jatuh,tiang jatuh,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,barangbarang orang hanyut,barangbarang orang hanyut,barangbarang orang hanyut,2,1,Ketakutan & Dampak Banjir,0.8542
Perempuan,12 sampai 15 tahun,Sibolga Utara,berubah semua dari yang sebelumnya banyak rumah lalu sekarang berkurang lalu banyak batu dan tanah,ubah semua yang belum banyak rumah lalu sekarang kurang lalu banyak batu tanah,ubah semua rumah sekarang kurang batu tanah,3,2,Kerusakan Rumah & Bantuan,0.7804
Perempuan,12 sampai 15 tahun,Sibolga Utara,saya melihat setelah selesainya banjir bandang rumah banyak robohhancur batubatu yang besar berserakan barangbarang berhanyutan dll,lihat selesai banjir bandang rumah banyak robohhancur batubatu besar sera barangbarang hanyut,lihat selesai banjir bandang rumah robohhancur batubatu besar sera barangbarang hanyut,2,1,Ketakutan & Dampak Banjir,0.9407
Perempuan,12 sampai 15 tahun,Sibolga Utara,waktu kejadian alam saya mendengar air sungai sangat deras batubatu yang hanyut hujan yang sangat deras tanah longsor dll,waktu jadi alam dengar air sungai sangat deras batubatu hanyut hujan sangat deras tanah longsor,alam dengar air sungai deras batubatu hanyut hujan deras tanah longsor,2,1,Ketakutan & Dampak Banjir,0.6571
Perempuan,12 sampai 15 tahun,Sibolga Utara,suara sungai mulai terdengar besar dan batubatu yang ada di sungai bergerak dekat rumah sungai mulai luas,suara sungai mulai dengar besar batubatu ada sungai gerak dekat rumah sungai mulai luas,suara sungai dengar besar batubatu sungai gerak dekat rumah sungai luas,4,3,Kebersihan & Aktivitas Pemulihan,0.4354
Perempuan,12 sampai 15 tahun,Sibolga Utara,hujan air suara batu suara angin suara petir,hujan air suara batu suara angin suara petir,hujan air suara batu suara angin suara petir,3,2,Kerusakan Rumah & Bantuan,0.7478
Perempuan,12 sampai 15 tahun,Sibolga Utara,ingin nangis karena takut suara hujan suara angin,nang takut suara hujan suara angin,nang takut suara hujan suara angin,3,2,Kerusakan Rumah & Bantuan,0.6763
Perempuan,12 sampai 15 tahun,Sibolga Utara,aku ingin menemukan atau bercerita kepada teman tuhan guru orangtua saudara agar kita lega,aku temu cerita teman tuhan guru orangtua saudara kita lega,temu cerita teman tuhan guru orangtua saudara lega,1,0,Kehilangan & Trauma Keluarga,0.9205
Perempuan,12 sampai 15 tahun,Sibolga Utara,makanan yang sudah kami makan saat bencana kemarin yaitu sup indomie nasi ikan mie sayur,makan sudah makan bencana kemarin sup indomie nasi ikan mie sayur,makan makan bencana kemarin sup indomie nasi ikan mie sayur,7,6,Kebutuhan Makan & Aktivitas Fisik,0.9493
Perempuan,12 sampai 15 tahun,Sibolga Utara,saya ingin ketemu sama saudara dan saya ingin memberi tahun kepada saudara tentang kejadian saat itu,ketemu sama saudara saya ingin beri tahun saudara jadi itu,ketemu saudara ingin beri tahun saudara,1,0,Kehilangan & Trauma Keluarga,0.8971
Perempuan,12 sampai 15 tahun,Sibolga Utara,makanan pada saat kejadian itu adalah indomie nasi roti dan lainlain saya rasa makanan itu enak,makan saat jadi adalah indomie nasi roti lainlain rasa makan enak,makan adalah indomie nasi roti lainlain rasa makan enak,7,6,Kebutuhan Makan & Aktivitas Fisik,0.9352
Perempuan,12 sampai 15 tahun,Sibolga Utara,pegal,pegal,pegal,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,gatalgatal,gatalgatal,gatalgatal,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,sakit,sakit,sakit,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,12 sampai 15 tahun,Sibolga Utara,pada saat itu bahu saya terasa pegal sakit dan merasa capek karena menyandang tas yang besar,saat bahu asa pegal sakit rasa capek sandang tas besar,bahu asa pegal sakit rasa capek sandang tas besar,8,7,Keluhan Fisik & Kesehatan,0.8656
Perempuan,12 sampai 15 tahun,Sibolga Utara,setelah bencana bahu mulai terasa sakit karena tidak sempat tidur nyenyak karena tidak tidur di kasur,bencana bahu mulai asa sakit tidak sempat tidur nyenyak tidak tidur kasur,bencana bahu asa sakit sempat tidur nyenyak tidur kasur,8,7,Keluhan Fisik & Kesehatan,0.7226
Perempuan,12 sampai 15 tahun,Sibolga Utara,sedih takut kehilangan orangtuaadik,sedih takut hilang orangtuaadik,sedih takut hilang orangtuaadik,2,1,Ketakutan & Dampak Banjir,0.5214
